Model name :mlp_4_features
Launch training on cuda
Saving best model
{'train_mae_sbp': 10.73674524984052, 'train_mae_dbp': 5.479832295448549, 'val_mae_sbp': 10.870225429534912, 'val_mae_dbp': 5.574895739555359}
{'train_mae_sbp': 10.730660530828661, 'train_mae_dbp': 5.472542778138192, 'val_mae_sbp': 10.868935108184814, 'val_mae_dbp': 5.574847936630249}
{'train_mae_sbp': 10.728555064047537, 'train_mae_dbp': 5.488119340712024, 'val_mae_sbp': 10.86386227607727, 'val_mae_dbp': 5.5749839544296265}
{'train_mae_sbp': 10.72178489931168, 'train_mae_dbp': 5.475878484787479, 'val_mae_sbp': 10.867337942123413, 'val_mae_dbp': 5.572192549705505}
{'train_mae_sbp': 10.714016545203425, 'train_mae_dbp': 5.478870853301017, 'val_mae_sbp': 10.86614441871643, 'val_mae_dbp': 5.569660782814026}
{'train_mae_sbp': 10.717483243634623, 'train_mae_dbp': 5.487366568657659, 'val_mae_sbp': 10.86821985244751, 'val_mae_dbp': 5.575615167617798}
{'train_mae_sbp': 10.739304880942068, 'train_mae_dbp': 5.475006103515625, 'val_mae_sbp': 10.864888906478882, 'val_mae_dbp': 5.5736403465271}
{'train_mae_sbp': 10.72012725953133, 'train_mae_dbp': 5.471075211801836, 'val_mae_sbp': 10.867316484451294, 'val_mae_dbp': 5.57135283946991}
{'train_mae_sbp': 10.728325597701534, 'train_mae_dbp': 5.475764828343546, 'val_mae_sbp': 10.864721059799194, 'val_mae_dbp': 5.575365304946899}
{'train_mae_sbp': 10.709707290895524, 'train_mae_dbp': 5.467304183590796, 'val_mae_sbp': 10.865648746490479, 'val_mae_dbp': 5.574402689933777}
{'train_mae_sbp': 10.731363973309916, 'train_mae_dbp': 5.469611998527281, 'val_mae_sbp': 10.865398645401001, 'val_mae_dbp': 5.578110098838806}
{'train_mae_sbp': 10.703353912599626, 'train_mae_dbp': 5.457749751306349, 'val_mae_sbp': 10.866574048995972, 'val_mae_dbp': 5.57270610332489}
{'train_mae_sbp': 10.731540280003701, 'train_mae_dbp': 5.46628345981721, 'val_mae_sbp': 10.870386838912964, 'val_mae_dbp': 5.5743831396102905}
{'train_mae_sbp': 10.697864409415953, 'train_mae_dbp': 5.460640722705472, 'val_mae_sbp': 10.872187852859497, 'val_mae_dbp': 5.573119640350342}
{'train_mae_sbp': 10.72320181323636, 'train_mae_dbp': 5.463755884478169, 'val_mae_sbp': 10.864594221115112, 'val_mae_dbp': 5.571747779846191}
{'train_mae_sbp': 10.730557749348302, 'train_mae_dbp': 5.4732035206210226, 'val_mae_sbp': 10.865295648574829, 'val_mae_dbp': 5.573526620864868}
{'train_mae_sbp': 10.739517365732501, 'train_mae_dbp': 5.461368299299671, 'val_mae_sbp': 10.867766857147217, 'val_mae_dbp': 5.570552706718445}
{'train_mae_sbp': 10.722706610156644, 'train_mae_dbp': 5.472657249819848, 'val_mae_sbp': 10.870357990264893, 'val_mae_dbp': 5.577058792114258}
{'train_mae_sbp': 10.737314962571666, 'train_mae_dbp': 5.473850880899737, 'val_mae_sbp': 10.867424964904785, 'val_mae_dbp': 5.579762697219849}
{'train_mae_sbp': 10.741392412493306, 'train_mae_dbp': 5.47284641573506, 'val_mae_sbp': 10.869046926498413, 'val_mae_dbp': 5.57404100894928}
{'train_mae_sbp': 10.717580918342836, 'train_mae_dbp': 5.47514138683196, 'val_mae_sbp': 10.860529661178589, 'val_mae_dbp': 5.571910738945007}
{'train_mae_sbp': 10.723793552767846, 'train_mae_dbp': 5.479707748659195, 'val_mae_sbp': 10.863038778305054, 'val_mae_dbp': 5.571447372436523}
{'train_mae_sbp': 10.73625647637152, 'train_mae_dbp': 5.477797354421308, 'val_mae_sbp': 10.865230798721313, 'val_mae_dbp': 5.57049560546875}
{'train_mae_sbp': 10.717687360702023, 'train_mae_dbp': 5.4668402671813965, 'val_mae_sbp': 10.87009882926941, 'val_mae_dbp': 5.581892013549805}
{'train_mae_sbp': 10.710925409870763, 'train_mae_dbp': 5.464754319960071, 'val_mae_sbp': 10.862144231796265, 'val_mae_dbp': 5.574470520019531}
{'train_mae_sbp': 10.740238097406202, 'train_mae_dbp': 5.48352704509612, 'val_mae_sbp': 10.865314960479736, 'val_mae_dbp': 5.576268315315247}
{'train_mae_sbp': 10.728669904893444, 'train_mae_dbp': 5.491923501414638, 'val_mae_sbp': 10.864434480667114, 'val_mae_dbp': 5.573829770088196}
{'train_mae_sbp': 10.726929695375505, 'train_mae_dbp': 5.489179011314146, 'val_mae_sbp': 10.866173505783081, 'val_mae_dbp': 5.573795199394226}
{'train_mae_sbp': 10.722274472636562, 'train_mae_dbp': 5.479248662148753, 'val_mae_sbp': 10.86037278175354, 'val_mae_dbp': 5.5742011070251465}
{'train_mae_sbp': 10.714766287034557, 'train_mae_dbp': 5.466744976658975, 'val_mae_sbp': 10.872708082199097, 'val_mae_dbp': 5.573865294456482}
{'train_mae_sbp': 10.745532558810327, 'train_mae_dbp': 5.476913898221908, 'val_mae_sbp': 10.866524934768677, 'val_mae_dbp': 5.576028823852539}
{'train_mae_sbp': 10.717938607738864, 'train_mae_dbp': 5.4746520442347375, 'val_mae_sbp': 10.865741968154907, 'val_mae_dbp': 5.571926474571228}
{'train_mae_sbp': 10.720823872473932, 'train_mae_dbp': 5.476643854571927, 'val_mae_sbp': 10.858368158340454, 'val_mae_dbp': 5.571267008781433}
{'train_mae_sbp': 10.74387547277635, 'train_mae_dbp': 5.476620597224081, 'val_mae_sbp': 10.865156173706055, 'val_mae_dbp': 5.573255896568298}
{'train_mae_sbp': 10.731479490956952, 'train_mae_dbp': 5.47995662689209, 'val_mae_sbp': 10.867465734481812, 'val_mae_dbp': 5.573314666748047}
{'train_mae_sbp': 10.714917029103924, 'train_mae_dbp': 5.469048084751252, 'val_mae_sbp': 10.870449542999268, 'val_mae_dbp': 5.5757750272750854}
{'train_mae_sbp': 10.740962120794482, 'train_mae_dbp': 5.477349127492597, 'val_mae_sbp': 10.865873098373413, 'val_mae_dbp': 5.573871612548828}
{'train_mae_sbp': 10.731085038954213, 'train_mae_dbp': 5.474371617840182, 'val_mae_sbp': 10.873526573181152, 'val_mae_dbp': 5.572183728218079}
{'train_mae_sbp': 10.71494677758986, 'train_mae_dbp': 5.482120083224389, 'val_mae_sbp': 10.86201286315918, 'val_mae_dbp': 5.569551467895508}
{'train_mae_sbp': 10.73910476315406, 'train_mae_dbp': 5.470341467088269, 'val_mae_sbp': 10.866658926010132, 'val_mae_dbp': 5.5696446895599365}
{'train_mae_sbp': 10.721390231963127, 'train_mae_dbp': 5.475904110939272, 'val_mae_sbp': 10.860497951507568, 'val_mae_dbp': 5.57099711894989}
{'train_mae_sbp': 10.724383477241762, 'train_mae_dbp': 5.474820890734272, 'val_mae_sbp': 10.86265754699707, 'val_mae_dbp': 5.572080492973328}
{'train_mae_sbp': 10.733080587079447, 'train_mae_dbp': 5.478618821790142, 'val_mae_sbp': 10.868619680404663, 'val_mae_dbp': 5.572020888328552}
{'train_mae_sbp': 10.715174028950353, 'train_mae_dbp': 5.461604656711701, 'val_mae_sbp': 10.861759424209595, 'val_mae_dbp': 5.574841260910034}
{'train_mae_sbp': 10.717751718336537, 'train_mae_dbp': 5.473589974064981, 'val_mae_sbp': 10.861064910888672, 'val_mae_dbp': 5.572129249572754}
{'train_mae_sbp': 10.736648590334001, 'train_mae_dbp': 5.479571219413511, 'val_mae_sbp': 10.863324165344238, 'val_mae_dbp': 5.567952871322632}
{'train_mae_sbp': 10.738909813665575, 'train_mae_dbp': 5.477357218342442, 'val_mae_sbp': 10.8621187210083, 'val_mae_dbp': 5.5758280754089355}
{'train_mae_sbp': 10.73630117600964, 'train_mae_dbp': 5.474689545169953, 'val_mae_sbp': 10.863250732421875, 'val_mae_dbp': 5.57222592830658}
{'train_mae_sbp': 10.728353838766775, 'train_mae_dbp': 5.480903087123748, 'val_mae_sbp': 10.865912914276123, 'val_mae_dbp': 5.574203133583069}
{'train_mae_sbp': 10.71566960119432, 'train_mae_dbp': 5.472109010142665, 'val_mae_sbp': 10.862914800643921, 'val_mae_dbp': 5.573122262954712}
{'train_mae_sbp': 10.724951682552215, 'train_mae_dbp': 5.483947215541717, 'val_mae_sbp': 10.862659931182861, 'val_mae_dbp': 5.5780006647109985}
{'train_mae_sbp': 10.716892796178017, 'train_mae_dbp': 5.472665848270539, 'val_mae_sbp': 10.86327338218689, 'val_mae_dbp': 5.56997287273407}
{'train_mae_sbp': 10.71177218037267, 'train_mae_dbp': 5.473674635733327, 'val_mae_sbp': 10.868903160095215, 'val_mae_dbp': 5.569730997085571}
{'train_mae_sbp': 10.740552809930616, 'train_mae_dbp': 5.477805137634277, 'val_mae_sbp': 10.863938808441162, 'val_mae_dbp': 5.573241949081421}
{'train_mae_sbp': 10.71883358493928, 'train_mae_dbp': 5.467403288810484, 'val_mae_sbp': 10.863961696624756, 'val_mae_dbp': 5.570806980133057}
{'train_mae_sbp': 10.738279127305553, 'train_mae_dbp': 5.4708089520854335, 'val_mae_sbp': 10.86483359336853, 'val_mae_dbp': 5.571898698806763}
{'train_mae_sbp': 10.713490670727145, 'train_mae_dbp': 5.468886744591497, 'val_mae_sbp': 10.86304259300232, 'val_mae_dbp': 5.56993293762207}
